type,ID,OD,DZ,Nr,Nz,current,nr,nz,parallel,partitions
OM,0.45,0.9,0.1,10,8,300.0,20,20,0,0
L2,0.25,0.5,0.019,16,2,121.0,20,8,0,0
Brown,0.3302,0.64516,0.0886,12,6,250.0,20,20,0,0
HSX1,0.6,0.72,0.1,5,12,200.0,20,20,0,0
HSX2,0.6,0.74,0.1,7,12,200.0,20,20,0,0
4pan,0.32,0.36,0.04,2,4,100.0,4,8,0,0
6pan,0.32,0.36,0.06,2,6,100.0,4,12,0,0
8pan,0.32,0.44,0.08,6,8,246.9,12,16,0,0
10pan,0.32,0.36,0.1,2,10,100,4,20,0,0
,,,,,,,,,,
Blue,0.3079,0.53975,0.0762,46,2,410,20,8,0,0
BlueCenter," 0.3079",0.53975,0.0762,46,2,300,20,8,0,0
12pan,0.32,0.4,0.12,4,12,600,8,24,0,0
12panCenter,0.32,0.4,0.12,4,12,610,8,24,0,0
6pan,0.32,0.4,0.06,2,12,820,4,24,0,0
6panCenter,0.32,0.4,0.06,2,12,820,4,24,0,0
6panOdd,0.36,0.5,0.06,7,6,650,14,24,0,0
4panO1,0.34,0.5,0.04,8,4,600,16,24,0,0
4panO2,0.32,0.5,0.04,9,4,680,18,24,0,0
3pan,0.32,0.5,0.03,9,3,600,18,21,0,0
8pan,0.32,0.44,0.08,6,8,480,20,24,0,0
3panCenter,0.32,0.5,0.03,9,3,640,18,21,0,0
