ports (deg),space (cm)
76.353846,5.215155
62.307692,8.013101
48.261538,5.215155
34.815385,5.215155
20.769231,8.013101
6.723077,5.215155
353.276923,5.215155
339.230769,8.013101
325.184615,5.215155
311.738462,5.215155
297.692308,8.013101
283.646154,5.215155
256.353846,5.215155
242.307692,8.013101
228.261538,5.215155
214.815385,5.215155
200.769231,8.013101
186.723077,5.215155
173.276923,5.215155
159.230769,8.013101
145.184615,5.215155
131.738462,5.215155
117.692308,8.013101
103.646154,5.215155
