OD,ID,DZ,Nr,Nz,G_per_A,Length_m,Resistance_mOhm,Mass_kg,Power_W,TempChange_C_per_s
0.5,0.48,0.01,1.0,1.0,0.0257,1.5394,0.508,0.7094,0.000508,1.86e-06
0.4,0.38,0.01,1.0,1.0,0.0322,1.2252,0.4043,0.5646,0.000404,1.86e-06
0.5,0.48,0.02,1.0,2.0,0.0513,3.0788,1.016,1.4188,0.001016,1.86e-06
0.5,0.46,0.01,2.0,1.0,0.0524,3.0159,0.9953,1.3899,0.000995,1.86e-06
0.4,0.38,0.02,1.0,2.0,0.0645,2.4504,0.8086,1.1293,0.000809,1.86e-06
0.4,0.36,0.01,2.0,1.0,0.0662,2.3876,0.7879,1.1003,0.000788,1.86e-06
0.5,0.48,0.03,1.0,3.0,0.077,4.6181,1.524,2.1282,0.001524,1.86e-06
0.5,0.44,0.01,3.0,1.0,0.0803,4.4296,1.4618,2.0414,0.001462,1.86e-06
0.4,0.38,0.03,1.0,3.0,0.0968,3.6757,1.213,1.6939,0.001213,1.86e-06
0.4,0.34,0.01,3.0,1.0,0.1021,3.4872,1.1508,1.607,0.001151,1.86e-06
0.5,0.48,0.04,1.0,4.0,0.1028,6.1575,2.032,2.8377,0.002032,1.86e-06
0.5,0.46,0.02,2.0,2.0,0.1048,6.0319,1.9905,2.7798,0.001991,1.86e-06
0.5,0.42,0.01,4.0,1.0,0.1095,5.7805,1.9076,2.6639,0.001908,1.86e-06
0.5,0.48,0.05,1.0,5.0,0.1286,7.6969,2.54,3.5471,0.00254,1.86e-06
0.4,0.38,0.04,1.0,4.0,0.1293,4.9009,1.6173,2.2585,0.001617,1.86e-06
0.4,0.36,0.02,2.0,2.0,0.1325,4.7752,1.5758,2.2006,0.001576,1.86e-06
0.5,0.4,0.01,5.0,1.0,0.1402,7.0686,2.3326,3.2575,0.002333,1.86e-06
0.4,0.32,0.01,4.0,1.0,0.1402,4.5239,1.4929,2.0848,0.001493,1.86e-06
0.5,0.48,0.06,1.0,6.0,0.1545,9.2363,3.048,4.2565,0.003048,1.86e-06
0.5,0.46,0.03,2.0,3.0,0.1573,9.0478,2.9858,4.1696,0.002986,1.86e-06
0.5,0.44,0.02,3.0,2.0,0.1607,8.8593,2.9236,4.0828,0.002924,1.86e-06
0.4,0.38,0.05,1.0,5.0,0.1618,6.1261,2.0216,2.8232,0.002022,1.86e-06
0.5,0.38,0.01,6.0,1.0,0.1724,8.2938,2.737,3.8222,0.002737,1.86e-06
0.5,0.48,0.07,1.0,7.0,0.1805,10.7757,3.556,4.9659,0.003556,1.86e-06
0.4,0.38,0.06,1.0,6.0,0.1945,7.3513,2.4259,3.3878,0.002426,1.86e-06
0.4,0.36,0.03,2.0,3.0,0.1989,7.1628,2.3637,3.301,0.002364,1.86e-06
0.4,0.34,0.02,3.0,2.0,0.2043,6.9743,2.3015,3.2141,0.002302,1.86e-06
0.5,0.36,0.01,7.0,1.0,0.2063,9.4562,3.1205,4.3578,0.003121,1.86e-06
0.5,0.48,0.08,1.0,8.0,0.2066,12.315,4.064,5.6753,0.004064,1.86e-06
0.5,0.46,0.04,2.0,4.0,0.2099,12.0637,3.981,5.5595,0.003981,1.86e-06
0.5,0.42,0.02,4.0,2.0,0.2192,11.5611,3.8152,5.3279,0.003815,1.86e-06
0.4,0.38,0.07,1.0,7.0,0.2274,8.5765,2.8303,3.9525,0.00283,1.86e-06
0.5,0.48,0.09,1.0,9.0,0.2328,13.8544,4.572,6.3847,0.004572,1.86e-06
0.5,0.44,0.03,3.0,3.0,0.2412,13.2889,4.3853,6.1241,0.004385,1.86e-06
0.5,0.34,0.01,8.0,1.0,0.2422,10.5558,3.4834,4.8646,0.003483,1.86e-06
0.4,0.38,0.08,1.0,8.0,0.2606,9.8018,3.2346,4.5171,0.003235,1.86e-06
0.5,0.46,0.05,2.0,5.0,0.2627,15.0796,4.9763,6.9494,0.004976,1.86e-06
0.4,0.36,0.04,2.0,4.0,0.2655,9.5504,3.1516,4.4013,0.003152,1.86e-06
0.5,0.32,0.01,9.0,1.0,0.2802,11.5925,3.8255,5.3423,0.003826,1.86e-06
0.5,0.4,0.02,5.0,2.0,0.2805,14.1372,4.6653,6.515,0.004665,1.86e-06
0.4,0.32,0.02,4.0,2.0,0.2806,9.0478,2.9858,4.1696,0.002986,1.86e-06
0.4,0.38,0.09,1.0,9.0,0.294,11.027,3.6389,5.0817,0.003639,1.86e-06
0.4,0.34,0.03,3.0,3.0,0.3068,10.4615,3.4523,4.8211,0.003452,1.86e-06
0.5,0.46,0.06,2.0,6.0,0.3156,18.0956,5.9715,8.3393,0.005972,1.86e-06
0.5,0.44,0.04,3.0,4.0,0.3218,17.7186,5.8471,8.1655,0.005847,1.86e-06
0.5,0.42,0.03,4.0,3.0,0.3289,17.3416,5.7227,7.9918,0.005723,1.86e-06
0.4,0.36,0.05,2.0,5.0,0.3324,11.9381,3.9396,5.5016,0.00394,1.86e-06
0.5,0.38,0.02,6.0,2.0,0.3449,16.5876,5.4739,7.6443,0.005474,1.86e-06
0.5,0.46,0.07,2.0,7.0,0.3687,21.1115,6.9668,9.7291,0.006967,1.86e-06
0.4,0.36,0.06,2.0,6.0,0.3997,14.3257,4.7275,6.6019,0.004727,1.86e-06
0.5,0.44,0.05,3.0,5.0,0.4027,22.1482,7.3089,10.2069,0.007309,1.86e-06
0.4,0.34,0.04,3.0,4.0,0.4096,13.9487,4.6031,6.4282,0.004603,1.86e-06
0.5,0.36,0.02,7.0,2.0,0.4128,18.9124,6.2411,8.7157,0.006241,1.86e-06
0.5,0.4,0.03,5.0,3.0,0.421,21.2058,6.9979,9.7726,0.006998,1.86e-06
0.4,0.32,0.03,4.0,3.0,0.4213,13.5717,4.4787,6.2544,0.004479,1.86e-06
0.5,0.46,0.08,2.0,8.0,0.4221,24.1274,7.9621,11.119,0.007962,1.86e-06
0.5,0.42,0.04,4.0,4.0,0.439,23.1221,7.6303,10.6557,0.00763,1.86e-06
0.4,0.36,0.07,2.0,7.0,0.4674,16.7133,5.5154,7.7022,0.005515,1.86e-06
0.5,0.46,0.09,2.0,9.0,0.4757,27.1434,8.9573,12.5089,0.008957,1.86e-06
0.5,0.44,0.06,3.0,6.0,0.4839,26.5779,8.7707,12.2483,0.008771,1.86e-06
0.5,0.34,0.02,8.0,2.0,0.4845,21.1115,6.9668,9.7291,0.006967,1.86e-06
0.4,0.34,0.05,3.0,5.0,0.5129,17.4358,5.7538,8.0352,0.005754,1.86e-06
0.5,0.38,0.03,6.0,3.0,0.5177,24.8814,8.2109,11.4665,0.008211,1.86e-06
0.4,0.36,0.08,2.0,8.0,0.5356,19.1009,6.3033,8.8026,0.006303,1.86e-06
0.5,0.42,0.05,4.0,5.0,0.5493,28.9027,9.5379,13.3197,0.009538,1.86e-06
0.5,0.32,0.02,9.0,2.0,0.5606,23.185,7.651,10.6847,0.007651,1.86e-06
0.5,0.4,0.04,5.0,4.0,0.5618,28.2743,9.3305,13.0301,0.009331,1.86e-06
0.4,0.32,0.04,4.0,4.0,0.5624,18.0956,5.9715,8.3393,0.005972,1.86e-06
0.5,0.44,0.07,3.0,7.0,0.5654,31.0075,10.2325,14.2897,0.010232,1.86e-06
0.4,0.36,0.09,2.0,9.0,0.6044,21.4885,7.0912,9.9029,0.007091,1.86e-06
0.4,0.34,0.06,3.0,6.0,0.6167,20.923,6.9046,9.6423,0.006905,1.86e-06
0.5,0.36,0.03,7.0,3.0,0.6196,28.3686,9.3616,13.0735,0.009362,1.86e-06
0.5,0.44,0.08,3.0,8.0,0.6473,35.4372,11.6943,16.3311,0.011694,1.86e-06
0.5,0.42,0.06,4.0,6.0,0.66,34.6832,11.4455,15.9836,0.011445,1.86e-06
0.5,0.38,0.04,6.0,4.0,0.6909,33.1752,10.9478,15.2886,0.010948,1.86e-06
0.5,0.4,0.05,5.0,5.0,0.7031,35.3429,11.6632,16.2876,0.011663,1.86e-06
0.4,0.32,0.05,4.0,5.0,0.7043,22.6195,7.4644,10.4241,0.007464,1.86e-06
0.4,0.34,0.07,3.0,7.0,0.7213,24.4102,8.0554,11.2493,0.008055,1.86e-06
0.5,0.34,0.03,8.0,3.0,0.7274,31.6673,10.4502,14.5937,0.01045,1.86e-06
0.5,0.44,0.09,3.0,9.0,0.7296,39.8668,13.156,18.3724,0.013156,1.86e-06
0.5,0.42,0.07,4.0,7.0,0.7713,40.4637,13.353,18.6475,0.013353,1.86e-06
0.4,0.34,0.08,3.0,8.0,0.8267,27.8973,9.2061,12.8564,0.009206,1.86e-06
0.5,0.36,0.04,7.0,4.0,0.827,37.8248,12.4822,17.4314,0.012482,1.86e-06
0.5,0.32,0.03,9.0,3.0,0.8415,34.7774,11.4766,16.027,0.011477,1.86e-06
0.5,0.4,0.06,5.0,6.0,0.8449,42.4115,13.9958,19.5451,0.013996,1.86e-06
0.4,0.32,0.06,4.0,6.0,0.8471,27.1434,8.9573,12.5089,0.008957,1.86e-06
0.5,0.38,0.05,6.0,5.0,0.8647,41.469,13.6848,19.1108,0.013685,1.86e-06
0.5,0.42,0.08,4.0,8.0,0.8831,46.2442,15.2606,21.3114,0.015261,1.86e-06
0.4,0.34,0.09,3.0,9.0,0.9331,31.3845,10.3569,14.4634,0.010357,1.86e-06
0.5,0.34,0.04,8.0,4.0,0.9708,42.223,13.9336,19.4583,0.013934,1.86e-06
0.5,0.4,0.07,5.0,7.0,0.9873,49.4801,16.3284,22.8027,0.016328,1.86e-06
0.4,0.32,0.07,4.0,7.0,0.9908,31.6673,10.4502,14.5937,0.01045,1.86e-06
0.5,0.42,0.09,4.0,9.0,0.9955,52.0248,17.1682,23.9754,0.017168,1.86e-06
0.5,0.36,0.05,7.0,5.0,1.0351,47.281,15.6027,21.7892,0.015603,1.86e-06
0.5,0.38,0.06,6.0,6.0,1.0392,49.7628,16.4217,22.933,0.016422,1.86e-06
0.5,0.32,0.04,9.0,4.0,1.1233,46.3699,15.3021,21.3694,0.015302,1.86e-06
0.5,0.4,0.08,5.0,8.0,1.1305,56.5487,18.6611,26.0602,0.018661,1.86e-06
0.4,0.32,0.08,4.0,8.0,1.1359,36.1911,11.9431,16.6785,0.011943,1.86e-06
0.5,0.38,0.07,6.0,7.0,1.2145,58.0566,19.1587,26.7551,0.019159,1.86e-06
0.5,0.34,0.05,8.0,5.0,1.2152,52.7788,17.417,24.3228,0.017417,1.86e-06
0.5,0.36,0.06,7.0,6.0,1.2441,56.7372,18.7233,26.1471,0.018723,1.86e-06
0.5,0.4,0.09,5.0,9.0,1.2747,63.6173,20.9937,29.3177,0.020994,1.86e-06
0.4,0.32,0.09,4.0,9.0,1.2823,40.715,13.436,18.7633,0.013436,1.86e-06
